movie_name,ost_name,artist,year,mvdir,mvact,gerne,valence,acousticness,danceability,energy,loudness,tempo
Spider-Man: No Way Home,Forget Me Knots,Michael Giacchino,2021,존 왓츠,"톰 홀랜드, 젠데이아 콜먼, 베네딕트 컴버배치, 존 파브로, 제이콥 배덜런, 마리사 토메이, 알프리드 몰리나","액션, 모험, SF",0.03,0.85,0.0691,0.0614,-19.004,73.215
Spider-Man: No Way Home,Peter Parker Picked a Perilously Precarious Profession,Michael Giacchino,2021,존 왓츠,"톰 홀랜드, 젠데이아 콜먼, 베네딕트 컴버배치, 존 파브로, 제이콥 배덜런, 마리사 토메이, 알프리드 몰리나","액션, 모험, SF",0.0672,0.729,0.291,0.0304,-16.878,60.185
Spiral,You Ain't Hard,Young Nudy,2021,세실리아 펠메리,세실리아 펠메리,드라마,0.772,0.0688,0.724,0.661,-4.563,171.969
Spiral,Spiral,21 Savage,2021,세실리아 펠메리,세실리아 펠메리,드라마,0.13,0.00161,0.814,0.659,-4.475,88.521
The Addams Family 2,The Addams Family (Theme),Christina Aguilera,2021,"그렉 티어난, 콘래드 버논","오스카 아이삭, 샤를리즈 테론, 클로이 모레츠, 닉 크롤, 스눕 독, 빌 헤이더, 제이본 워너 월튼","애니메이션, 코미디, 가족",0.922,0.0812,0.831,0.446,-8.845,121.002
The Conjuring: The Devil Made Me Do It,Devil Opening,Joseph Bishara,2021,마이클 차베즈,"베라 파미가, 패트릭 윌슨, 줄리안 힐리아드","공포, 미스터리, 스릴러",0.0727,0.889,0.199,0.292,-25.334,79.453
The Conjuring: The Devil Made Me Do It,wilds of the Devil,Joseph Bishara,2021,마이클 차베즈,"베라 파미가, 패트릭 윌슨, 줄리안 힐리아드","공포, 미스터리, 스릴러",0.035,0.845,0.101,0.35,-18.547,83.886
The Conjuring: The Devil Made Me Do It,Soaring curses,Joseph Bishara,2021,마이클 차베즈,"베라 파미가, 패트릭 윌슨, 줄리안 힐리아드","공포, 미스터리, 스릴러",0.0366,0.946,0.0994,0.22,-15.944,80.044
The French Dispatch,Aline,Jarvis Cocker,2021,웨스 앤더슨,"티모시 샬라메, 빌 머레이, 틸다 스윈튼, 제프리 라이트, 베니시오 델 토로, 레아 세이두, 프란시스 맥도맨드, 애드리언 브로디, 오웬 윌슨, 리나 쿠드리, 스티브 박, 마티유 아말릭","코미디, 드라마, 멜로/로맨스",0.423,0.12,0.239,0.59,-8.319,178.701
The French Dispatch,Obituary,Alexandre Desplat,2021,웨스 앤더슨,"티모시 샬라메, 빌 머레이, 틸다 스윈튼, 제프리 라이트, 베니시오 델 토로, 레아 세이두, 프란시스 맥도맨드, 애드리언 브로디, 오웬 윌슨, 리나 쿠드리, 스티브 박, 마티유 아말릭","코미디, 드라마, 멜로/로맨스",0.72,0.949,0.766,0.186,-15.365,158.922
The Hitman’s Wife’s Bodyguard,The Hitman's Wife's Bodyguard,Atli Orvarsson,2021,패트릭 휴스,"라이언 레이놀즈, 사무엘 L. 잭슨, 셀마 헤이엑","액션, 코미디",0.0365,0.149,0.225,0.548,-9.34,121.062
The King’s Man,The King's Man,Matthew Margeson,2021,매튜 본,"랄프 파인즈, 해리스 딕킨슨",액션,0.106,0.728,0.0915,0.332,-12.729,79.255
The King’s Man,Dance on Your Graves,Matthew Margeson,2021,매튜 본,"랄프 파인즈, 해리스 딕킨슨",액션,0.175,0.28,0.189,0.536,-7.787,84.315
The Matrix Resurrections,Opening,Johnny Klimek,2021,라나 워쇼스키,"키아누 리브스, 캐리 앤 모스","액션, SF",0.0373,0.128,0.219,0.363,-17.935,150.031
The Power Of The Dog,25 Years,Jonny Greenwood,2021,제인 캠피온,"커스틴 던스트, 짐 개피건, 제시 플레먼스, 키스 캐러딘, 토마신 맥켄지, 베네딕트 컴버배치, 코디 스밋 맥피","드라마, 멜로/로맨스, 서스펜스, 미스터리",0.32,0.894,0.407,0.12,-16.509,100.096
The Power Of The Dog,The Ravine,Jonny Greenwood,2021,제인 캠피온,"커스틴 던스트, 짐 개피건, 제시 플레먼스, 키스 캐러딘, 토마신 맥켄지, 베네딕트 컴버배치, 코디 스밋 맥피","드라마, 멜로/로맨스, 서스펜스, 미스터리",0.03,0.995,0.155,0.0654,-18.337,69.757
The Power Of The Dog,West,Jonny Greenwood,2021,제인 캠피온,"커스틴 던스트, 짐 개피건, 제시 플레먼스, 키스 캐러딘, 토마신 맥켄지, 베네딕트 컴버배치, 코디 스밋 맥피","드라마, 멜로/로맨스, 서스펜스, 미스터리",0.0303,0.979,0.15,0.231,-13.038,161.085
The Suicide Squad,Folsom Prison Blues (Live),Johnny Cash,2021,제임스 건,"마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론, 비올라 데이비스","액션, 모험, 판타지, 미스터리, SF",0.889,0.0652,0.621,0.524,-15.269,110.586
The Suicide Squad,Sucker's Prayer,Decemberists,2021,제임스 건,"마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론, 비올라 데이비스","액션, 모험, 판타지, 미스터리, SF",0.551,0.00831,0.384,0.697,-6.196,149.007
The Suicide Squad,Samba Na Sola,Ceu,2021,제임스 건,"마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론, 비올라 데이비스","액션, 모험, 판타지, 미스터리, SF",0.893,0.715,0.748,0.459,-12.768,102.146
"tick, tick... BOOM!",30/90,Andrew GarfieldAndrew Garfield,2021,린-마누엘 미란다,"앤드류 가필드, 알렉산드라 쉽, 로빈 드 지저스, 바네사 허진스, 브래드리 휘트포드, 주디스 라이트","드라마, 뮤지컬",0.36,0.0146,0.466,0.789,-5.956,175.772
"tick, tick... BOOM!",Louder Than Words,Andrew GarfieldAndrew Garfield,2021,린-마누엘 미란다,"앤드류 가필드, 알렉산드라 쉽, 로빈 드 지저스, 바네사 허진스, 브래드리 휘트포드, 주디스 라이트","드라마, 뮤지컬",0.42,0.0994,0.333,0.581,-5.497,95.202
"tick, tick... BOOM!",Come to Your Senses,Alexandra ShippAlexandra Shipp,2021,린-마누엘 미란다,"앤드류 가필드, 알렉산드라 쉽, 로빈 드 지저스, 바네사 허진스, 브래드리 휘트포드, 주디스 라이트","드라마, 뮤지컬",0.225,0.431,0.393,0.444,-5.745,98.523
Tom and Jerry,Tom and Jerry,Christopher Lennertz,2021,팀 스토리,"클로이 모레츠, 켄 정, 마이클 페나",애니메이션,0.181,0.00323,0.695,0.626,-9.676,100.99
Tom and Jerry,Tom in Disguise,Christopher Lennertz,2021,팀 스토리,"클로이 모레츠, 켄 정, 마이클 페나",애니메이션,0.0463,0.0264,0.422,0.336,-15.248,138.571
Venom: Let There be Carnage,Last One Standing (From Venom: Let There Be Carnage),Skylar Grey,2021,앤디 서키스,"톰 하디, 미셸 윌리엄스","액션, SF, 스릴러",0.233,0.237,0.664,0.692,-4.128,154.924
Venom: Let There be Carnage,St. Estes Reform School (Extended),Marco Beltrami,2021,앤디 서키스,"톰 하디, 미셸 윌리엄스","액션, SF, 스릴러",0.0391,0.118,0.185,0.234,-15.574,113.13
Venom: Let There be Carnage,Carnage Unleashed,Marco Beltrami,2021,앤디 서키스,"톰 하디, 미셸 윌리엄스","액션, SF, 스릴러",0.0385,0.00383,0.22,0.788,-10.043,111.84
West Side Story,Something's Coming,Ansel Elgort,2021,스티븐 스필버그,"안셀 엘고트, 마이크 파이스트, 레이첼 지글러, 데이비드 알바즈, 아리아나 데보스","드라마, 뮤지컬",0.316,0.445,0.423,0.208,-16.142,96.321
West Side Story,Balcony Scene (Tonight),Rachel Zegler,2021,스티븐 스필버그,"안셀 엘고트, 마이크 파이스트, 레이첼 지글러, 데이비드 알바즈, 아리아나 데보스","드라마, 뮤지컬",0.113,0.795,0.165,0.0738,-17.947,64.063
West Side Story,Maria,Ansel Elgort,2021,스티븐 스필버그,"안셀 엘고트, 마이크 파이스트, 레이첼 지글러, 데이비드 알바즈, 아리아나 데보스","드라마, 뮤지컬",0.126,0.684,0.277,0.0925,-17.915,115.163
Wrath of Man,Wrath of Man,Chris Benstead,2021,가이 리치,"제이슨 스타뎀, 스콧 이스트우드, 조쉬 하트넷, 포스트 말론, 홀트 맥칼라니, 제프리 도노반",액션,0.155,0.0791,0.449,0.321,-12.95,137.002
Wrath of Man,F**king Lunatic,Chris Benstead,2021,가이 리치,"제이슨 스타뎀, 스콧 이스트우드, 조쉬 하트넷, 포스트 말론, 홀트 맥칼라니, 제프리 도노반",액션,0.0402,0.21,0.825,0.181,-11.8,120.855
Antebellum,Opening,"Nate Wonder, Roman Gianarthur",2020,"제라드 부시, 크리스토퍼 렌즈","자넬 모네, 지나 말론, 잭 휴스턴","미스터리, 스릴러",0.0302,0.306,0.29,0.0171,-19.87,167.904
Bad Boys For Life,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",2020,"아딜 엘 아르비, 빌랄 팔라","마틴 로렌스, 윌 스미스",액션,0.666,0.0295,0.732,0.716,-6.968,105.093
